m    refMin    absMin    inputs    outputs    Size_SH1    Size_SH2    Size_SH3    Size_H1    Size_H2    Size_H3    Total_SH1    Total_SH2    Total_SH3    Total_H1    Total_H2    Total_H3    Impr_SH1    Impr_SH2    Impr_SH3    ImprLength_SH1    ImprLength_SH2    ImprLength_SH3    timeSH1    timeSH2    timeSH3
0    100    43    4    8    881    554    526    885    561    535    4945    4842    4550    4968    4891    4614    0.452    1.248    1.682    0.463    1.002    1.387    3524    62560    90010
0    100    44    4    8    877    557    528    882    565    539    4922    4875    4568    4947    4931    4639    0.5669    1.416    2.041    0.5054    1.136    1.531    3543    62250    90750
0    100    45    4    8    876    552    527    880    561    537    4901    4818    4534    4928    4877    4602    0.4545    1.604    1.862    0.5479    1.21    1.478    3580    61750    90090
0    100    46    4    8    879    557    529    883    566    539    4934    4867    4564    4957    4924    4637    0.453    1.59    1.855    0.464    1.158    1.574    3540    62970    91100
0    100    47    4    8    877    555    530    882    564    540    4940    4864    4588    4963    4930    4663    0.5669    1.596    1.852    0.4634    1.339    1.608    3506    63120    91210
0    100    48    4    8    878    550    525    883    558    534    4936    4824    4546    4962    4874    4607    0.5663    1.434    1.685    0.524    1.026    1.324    3574    62920    90580
0    100    49    4    8    883    551    524    887    558    534    4959    4855    4562    4980    4899    4627    0.451    1.254    1.873    0.4217    0.8981    1.405    3578    62930    90500
0    100    50    4    8    881    555    530    884    562    540    4977    4880    4601    4994    4928    4662    0.3394    1.246    1.852    0.3404    0.974    1.308    3604    63210    90930
0    100    51    4    8    884    559    531    887    566    539    4982    4911    4606    5002    4953    4661    0.3382    1.237    1.484    0.3998    0.848    1.18    3472    63150    90990
0    100    52    4    8    884    548    529    886    556    536    4986    4826    4588    4999    4878    4637    0.2257    1.439    1.306    0.26    1.066    1.057    3551    62840    91130
0    100    53    4    8    879    555    527    882    562    535    4950    4872    4578    4965    4919    4633    0.3401    1.246    1.495    0.3021    0.9555    1.187    3520    63400    90570
0    100    54    4    8    881    554    527    885    560    535    4960    4882    4584    4981    4924    4637    0.452    1.071    1.495    0.4216    0.853    1.143    3516    62730    90890
0    100    55    4    8    883    556    530    886    562    537    4967    4867    4585    4986    4907    4640    0.3386    1.068    1.304    0.3811    0.8152    1.185    3475    62420    91450
0    100    56    4    8    884    552    527    887    557    532    4981    4847    4568    4995    4882    4606    0.3382    0.8977    0.9398    0.2803    0.7169    0.825    3582    62880    91380
0    100    57    4    8    880    562    531    883    569    540    4944    4916    4602    4961    4955    4657    0.3398    1.23    1.667    0.3427    0.7871    1.181    3426    63370    91050
0    100    58    4    8    883    553    529    886    561    537    4970    4848    4577    4986    4899    4632    0.3386    1.426    1.49    0.3209    1.041    1.187    3585    63240    90830
0    100    59    4    8    880    559    529    884    565    536    4959    4898    4579    4980    4929    4625    0.4525    1.062    1.306    0.4217    0.6289    0.9946    3569    63380    90010
0    100    60    4    8    884    558    533    887    566    541    4972    4891    4604    4989    4939    4658    0.3382    1.413    1.479    0.3407    0.9719    1.159    3529    63090    90990
0    100    61    4    8    880    557    531    882    564    537    4940    4886    4595    4954    4926    4639    0.2268    1.241    1.117    0.2826    0.812    0.9485    3613    63020    91260
0    100    62    4    8    881    554    528    884    561    536    4940    4846    4570    4953    4894    4622    0.3394    1.248    1.493    0.2625    0.9808    1.125    3525    62990    91210
0    100    63    4    8    883    559    528    886    565    535    4954    4894    4569    4969    4925    4612    0.3386    1.062    1.308    0.3019    0.6294    0.9324    3514    63550    90980
0    100    64    4    8    885    558    529    888    564    536    4971    4894    4590    4986    4932    4632    0.3378    1.064    1.306    0.3008    0.7705    0.9067    3544    62930    90990
0    100    65    4    8    882    555    528    884    562    535    4948    4853    4568    4960    4898    4619    0.2262    1.246    1.308    0.2419    0.9187    1.104    3602    63170    91310
