m    refMin    absMin    inputs    outputs    Size_SH1    Size_SH2    Size_SH3    Size_H1    Size_H2    Size_H3    Total_SH1    Total_SH2    Total_SH3    Total_H1    Total_H2    Total_H3    Impr_SH1    Impr_SH2    Impr_SH3    ImprLength_SH1    ImprLength_SH2    ImprLength_SH3    timeSH1    timeSH2    timeSH3
0    100    43    4    8    779    527    486    876    560    525    4779    4795    4430    5389    5210    4839    11.07    5.893    7.429    11.32    7.965    8.452    3226    55700    79080
0    100    44    4    8    792    521    484    875    553    519    4828    4765    4423    5348    5155    4783    9.486    5.787    6.744    9.723    7.565    7.527    3289    55400    78760
0    100    45    4    8    803    531    491    885    554    520    4891    4822    4447    5405    5138    4774    9.266    4.152    5.577    9.51    6.15    6.85    3163    55810    79670
0    100    46    4    8    793    531    490    886    557    522    4833    4861    4485    5407    5186    4813    10.5    4.668    6.13    10.62    6.267    6.815    3227    56580    79560
0    100    47    4    8    792    529    489    874    559    525    4877    4878    4505    5387    5220    4846    9.382    5.367    6.857    9.467    6.552    7.037    3242    57820    82240
0    100    48    4    8    790    525    483    876    558    520    4838    4852    4469    5378    5209    4814    9.817    5.914    7.115    10.04    6.854    7.167    3258    56920    81310
0    100    49    4    8    814    530    490    884    552    514    4956    4840    4482    5395    5116    4745    7.919    3.986    4.669    8.137    5.395    5.543    3266    57920    82300
0    100    50    4    8    818    534    492    882    545    511    4961    4863    4477    5355    5045    4722    7.256    2.018    3.718    7.358    3.608    5.188    3276    58640    82360
0    100    51    4    8    802    526    485    873    551    513    4882    4839    4449    5322    5138    4739    8.133    4.537    5.458    8.268    5.819    6.119    3362    57660    82410
0    100    52    4    8    824    535    497    887    554    521    5012    4921    4560    5407    5144    4799    7.103    3.43    4.607    7.305    4.335    4.98    3274    58130    82830
0    100    53    4    8    827    542    502    885    556    518    4994    4944    4557    5352    5138    4751    6.554    2.518    3.089    6.689    3.776    4.083    3349    58540    82970
0    100    54    4    8    820    537    497    885    554    521    4987    4920    4549    5391    5146    4789    7.345    3.069    4.607    7.494    4.392    5.011    3287    59270    84020
0    100    55    4    8    815    530    492    879    554    516    4929    4859    4486    5326    5132    4741    7.281    4.332    4.651    7.454    5.32    5.379    3250    58450    83310
0    100    56    4    8    819    536    497    878    550    517    4968    4923    4538    5335    5110    4757    6.72    2.545    3.868    6.879    3.659    4.604    3299    58780    83830
0    100    57    4    8    833    545    503    883    553    516    5078    5023    4617    5387    5152    4774    5.663    1.447    2.519    5.736    2.504    3.289    3259    59980    85180
0    100    58    4    8    820    534    495    881    560    522    4958    4889    4523    5330    5171    4782    6.924    4.643    5.172    6.979    5.453    5.416    3330    59610    84450
0    100    59    4    8    819    544    504    879    555    520    4949    4971    4590    5320    5139    4774    6.826    1.982    3.077    6.974    3.269    3.854    3307    59900    84910
0    100    60    4    8    831    532    494    880    549    512    5009    4871    4511    5307    5065    4706    5.568    3.097    3.516    5.615    3.83    4.144    3344    59260    85420
0    100    61    4    8    816    533    495    879    558    523    4909    4881    4514    5294    5162    4791    7.167    4.48    5.354    7.272    5.444    5.782    3337    59280    84600
0    100    62    4    8    825    538    502    877    556    522    4970    4910    4559    5284    5120    4772    5.929    3.237    3.831    5.942    4.102    4.464    3376    59960    85240
0    100    63    4    8    824    541    499    880    563    526    4942    4942    4555    5279    5191    4796    6.364    3.908    5.133    6.384    4.797    5.025    3343    60280    85630
0    100    64    4    8    839    542    506    887    550    519    5015    4927    4578    5306    5071    4737    5.411    1.455    2.505    5.484    2.84    3.357    3369    60260    86030
0    100    65    4    8    838    544    504    881    556    520    5017    4947    4564    5279    5117    4749    4.881    2.158    3.077    4.963    3.322    3.896    3351    60240    86410
0    100    66    4    8    829    538    503    878    553    520    4987    4932    4580    5284    5113    4759    5.581    2.712    3.269    5.621    3.54    3.761    3338    60260    86710
0    100    67    4    8    842    542    505    885    557    522    5015    4903    4542    5269    5089    4724    4.859    2.693    3.257    4.821    3.655    3.853    3336    60310    87250
0    100    68    4    8    845    538    503    881    551    519    5089    4943    4601    5306    5086    4754    4.086    2.359    3.083    4.09    2.812    3.218    3345    60680    87760
0    100    69    4    8    842    542    506    883    554    522    5006    4908    4558    5253    5053    4708    4.643    2.166    3.065    4.702    2.87    3.186    3327    60850    87730
0    100    70    4    8    850    544    507    888    558    526    5111    4974    4601    5343    5135    4781    4.279    2.509    3.612    4.342    3.135    3.765    3350    61320    88030
0    100    71    4    8    849    545    509    882    551    520    4921    4871    4515    5111    4967    4647    3.741    1.089    2.115    3.717    1.933    2.841    3448    60860    87350
0    100    72    4    8    842    543    507    878    556    525    4851    4844    4497    5058    4981    4648    4.1    2.338    3.429    4.093    2.75    3.249    3453    60740    86930
0    100    73    4    8    846    539    503    884    558    525    4874    4805    4462    5098    4990    4642    4.299    3.405    4.19    4.394    3.707    3.878    3466    61360    87640
0    100    74    4    8    854    548    513    884    552    521    4924    4887    4535    5098    4967    4635    3.394    0.7246    1.536    3.413    1.611    2.158    3495    61270    87650
0    100    75    4    8    852    546    514    880    555    524    4900    4868    4541    5062    4977    4650    3.182    1.622    1.908    3.2    2.19    2.344    3545    61190    88130
0    100    76    4    8    862    547    513    883    558    523    4956    4898    4553    5081    4997    4649    2.378    1.971    1.912    2.46    1.981    2.065    3506    61520    88880
0    100    77    4    8    849    549    509    879    562    525    4892    4896    4504    5067    5029    4654    3.413    2.313    3.048    3.454    2.645    3.223    3399    62560    88250
0    100    78    4    8    859    551    518    881    559    528    4910    4864    4530    5039    4985    4654    2.497    1.431    1.894    2.56    2.427    2.664    3471    62110    88940
0    100    79    4    8    863    547    520    884    572    544    4934    4802    4523    5052    4994    4704    2.376    4.371    4.412    2.336    3.845    3.848    3555    62260    89360
0    100    80    4    8    863    543    518    884    571    546    4914    4758    4492    5033    4967    4691    2.376    4.904    5.128    2.364    4.208    4.242    3539    61640    89120
0    100    81    4    8    861    538    517    880    564    542    4903    4734    4489    5013    4939    4681    2.159    4.61    4.613    2.194    4.151    4.102    3490    62320    89390
0    100    82    4    8    859    545    518    882    572    544    4881    4788    4500    5014    4989    4694    2.608    4.72    4.779    2.653    4.029    4.133    3546    62240    89730
0    100    83    4    8    858    545    516    878    568    539    4879    4790    4494    4996    4973    4671    2.278    4.049    4.267    2.342    3.68    3.789    3569    63050    89470
0    100    84    4    8    868    550    523    885    572    545    4928    4818    4534    5028    4993    4693    1.921    3.846    4.037    1.989    3.505    3.388    3567    62980    89050
0    100    85    4    8    874    555    527    884    572    543    4964    4897    4588    5024    5015    4701    1.131    2.972    2.947    1.194    2.353    2.404    3518    63220    90370
0    100    86    4    8    878    557    526    882    572    543    5015    4914    4594    5038    4998    4700    0.4535    2.622    3.131    0.4565    1.681    2.255    3529    63260    90480
0    100    87    4    8    881    562    534    885    572    547    4994    4946    4636    5017    4997    4707    0.452    1.748    2.377    0.4584    1.021    1.508    3460    63490    90700
0    100    88    4    8    878    560    532    883    574    547    4977    4927    4619    5005    5001    4711    0.5663    2.439    2.742    0.5594    1.48    1.953    3491    62920    90220
0    100    89    4    8    880    553    528    883    565    541    4983    4874    4586    4998    4943    4662    0.3398    2.124    2.403    0.3001    1.396    1.63    3530    62810    91460
0    100    90    4    8    882    554    526    884    563    536    4990    4875    4579    5000    4918    4641    0.2262    1.599    1.866    0.2    0.8743    1.336    3566    63310    90770
0    100    91    4    8    882    552    524    884    563    536    4990    4883    4583    5000    4943    4647    0.2262    1.954    2.239    0.2    1.214    1.377    3562    63280    91470
0    100    92    4    8    883    556    527    885    564    536    4980    4883    4576    4987    4929    4626    0.226    1.418    1.679    0.1404    0.9333    1.081    3436    63150    91270
0    100    93    4    8    885    557    530    886    563    537    4996    4895    4608    5003    4931    4649    0.1129    1.066    1.304    0.1399    0.7301    0.8819    3598    63680    91380
0    100    94    4    8    881    557    532    882    562    537    4970    4901    4622    4973    4927    4652    0.1134    0.8897    0.9311    0.06033    0.5277    0.6449    3531    63610    91640
0    100    95    4    8    886    555    530    886    558    534    4994    4885    4609    4996    4905    4631    0    0.5376    0.7491    0.04003    0.4078    0.4751    3488    63820    91440
0    100    96    4    8    884    554    533    884    557    535    4981    4879    4621    4983    4891    4632    0    0.5386    0.3738    0.04014    0.2454    0.2375    3572    63870    91360
0    100    97    4    8    882    553    528    883    554    530    4983    4882    4607    4984    4890    4615    0.1133    0.1805    0.3774    0.02007    0.1636    0.1733    3607    64400    92400
0    100    98    4    8    886    556    531    886    558    532    4985    4900    4615    4986    4907    4622    0    0.3584    0.188    0.02006    0.1427    0.1515    3592    63630    91520
0    100    99    4    8    881    556    529    881    556    529    4954    4896    4599    4954    4896    4598    0    0    0    0    0    -0.02174    3655    63880    91220
