m    refMin    absMin    inputs    outputs    Size_SH1    Size_SH2    Size_SH3    Size_H1    Size_H2    Size_H3    Total_SH1    Total_SH2    Total_SH3    Total_H1    Total_H2    Total_H3    Impr_SH1    Impr_SH2    Impr_SH3    ImprLength_SH1    ImprLength_SH2    ImprLength_SH3    timeSH1    timeSH2    timeSH3
0    20    4    4    8    112    88    79    129    98    91    485    568    525    557    658    619    13.18    10.2    13.19    12.93    13.68    15.19    4    59    86
1    20    4    4    8    450    302    276    515    349    320    2395    2388    2218    2738    2846    2656    12.62    13.47    13.75    12.53    16.09    16.49    27    760    1092
2    20    4    4    8    1804    1225    1111    2064    1419    1291    11384    10857    10024    13023    12918    11952    12.6    13.67    13.94    12.59    15.95    16.13    134    12620    17870
3    20    4    4    8    7219    4825    4443    8257    5600    5178    52771    47606    44490    60351    56603    53099    12.57    13.84    14.19    12.56    15.89    16.21    611    251000    352400
